#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.08173     3.08173           0
           2     2.82309     2.95241    0.091445
           3      2.4803     2.79504    0.142221
           4     2.34781     2.68323    0.144059
           5     2.27024     2.60063    0.136894
           6     2.20876     2.53532    0.128719
           7     2.17844     2.48434    0.120003
           8     2.12206     2.43905    0.113225
           9     2.12357       2.404    0.105932
          10     2.07644     2.37124    0.100275
          11     2.02609     2.33987   0.0959429
          12     1.99972     2.31152   0.0920396
          13     2.01583     2.28878   0.0877252
          14     2.03145      2.2704   0.0833625
          15     2.00591     2.25276   0.0796479
          16     1.98236     2.23586   0.0764419
          17     2.02259     2.22332   0.0729675
          18     2.06993      2.2148   0.0694096
          19     2.02402     2.20476   0.0664787
          20     1.99573      2.1943    0.063971
          21     1.98922     2.18454   0.0616657
          22     1.96316     2.17448   0.0596781
          23     1.97815     2.16594   0.0576906
          24     1.94462     2.15672    0.056019
          25     1.94808     2.14837   0.0543963
          26      1.9464      2.1406   0.0528559
          27     1.97641     2.13452   0.0512469
          28     1.99695     2.12961   0.0496517
          29     1.99645     2.12502   0.0481514
          30     2.01794     2.12145   0.0466784
          31     2.01682     2.11807   0.0452946
          32     1.99053     2.11409   0.0440541
          33     2.01318     2.11103   0.0428251
          34     1.99909     2.10774   0.0416919
          35     1.98078     2.10411   0.0406582
          36     1.97096     2.10041   0.0396967
          37       1.995     2.09756   0.0387259
          38      1.9411     2.09344   0.0379251
          39     1.94008     2.08951    0.037156
          40     1.95046     2.08604   0.0363893
          41     1.94288     2.08254   0.0356689
          42     1.96692     2.07979   0.0349257
          43     1.93305     2.07638   0.0342798
          44     1.94365     2.07336   0.0336332
          45     1.92492     2.07006   0.0330472
          46     1.91687     2.06673   0.0324961
          47     1.97421     2.06476   0.0318643
          48     1.96688     2.06273   0.0312656
          49     1.98559     2.06115   0.0306672
          50     1.99033     2.05973   0.0300865
          51     1.99704     2.05851   0.0295217
          52     1.99366     2.05726   0.0289803
          53      1.9944     2.05607   0.0284577
          54        1.94     2.05392   0.0280118
          55     1.92649     2.05161   0.0275982
