#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02741     3.02741           0
           2     3.13605     3.08173   0.0384109
           3     2.95723     3.04023   0.0424727
           4     2.68894     2.95241   0.0824576
           5     2.51917     2.86576    0.101773
           6     2.44142     2.79504    0.106588
           7     2.38831     2.73693    0.106022
           8     2.30732     2.68323    0.105497
           9     2.29272     2.63984    0.102309
          10     2.24776     2.60063   0.0993077
          11     2.21555     2.56563   0.0962524
          12     2.20197     2.53532   0.0928796
          13     2.19118     2.50885   0.0894281
          14      2.1657     2.48434    0.086334
          15     2.13671     2.46116   0.0836311
          16     2.10742     2.43905   0.0812741
          17     2.11209     2.41982   0.0787362
          18     2.13506       2.404   0.0759346
          19     2.09353     2.38766   0.0736753
          20     2.05936     2.37124   0.0717969
