#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.02466     2.02466           0
           2     2.16821     2.09644   0.0507517
           3     2.17044     2.12111   0.0393756
           4     2.13065     2.12349   0.0296039
           5     2.10049     2.11889   0.0240378
           6      2.1331     2.12126   0.0201479
           7     2.14934     2.12527   0.0176645
           8     2.14891     2.12823   0.0157015
           9     2.15317       2.131   0.0141993
          10     2.18042     2.13594   0.0136123
          11     2.14511     2.13677   0.0124003
          12     2.16609     2.13922   0.0116051
          13     2.13448     2.13885   0.0107181
          14     2.14974     2.13963  0.00998072
          15     2.14983     2.14031  0.00933847
          16     2.11097     2.13848  0.00893305
          17     2.11127     2.13688  0.00854969
          18     2.11996     2.13594  0.00812618
          19     2.14776     2.13656  0.00772229
          20     2.15363     2.13741  0.00738317
