#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43701    -1.43701           0
           2    -1.54442    -1.49072   0.0379758
           3    -1.36484    -1.44876   0.0425988
           4    -1.09483    -1.36028   0.0830206
           5   -0.925292    -1.27328    0.102303
           6   -0.846816     -1.2022    0.107135
           7   -0.793202    -1.14377    0.106579
           8   -0.711832    -1.08978    0.106054
           9   -0.697098    -1.04615    0.102855
          10   -0.651455    -1.00668   0.0998556
          11   -0.619306   -0.971464   0.0967886
          12     -0.6056   -0.940975   0.0934015
          13   -0.594841    -0.91435   0.0899318
          14   -0.569107    -0.88969   0.0868233
          15   -0.540193    -0.86639   0.0841033
          16   -0.510813   -0.844166   0.0817304
          17   -0.515533   -0.824835   0.0791759
          18   -0.538618   -0.808934   0.0763572
          19   -0.496825   -0.792507   0.0740843
          20   -0.462645   -0.776014   0.0721926
          21   -0.440858   -0.760054    0.070497
          22   -0.417884   -0.744501   0.0689869
          23   -0.395977   -0.729348   0.0676312
          24    -0.41059   -0.716066   0.0661046
          25    -0.41016    -0.70383   0.0645829
          26    -0.42851   -0.693241   0.0629611
          27    -0.43799   -0.683787   0.0613349
          28   -0.432277   -0.674805   0.0597985
          29    -0.41629    -0.66589   0.0583971
          30   -0.402411   -0.657108   0.0571071
          31   -0.393724   -0.648611   0.0558934
          32   -0.377963   -0.640154   0.0547829
          33   -0.397271   -0.632794    0.053615
          34   -0.455819   -0.627588   0.0522901
          35   -0.493066   -0.623745   0.0509372
          36   -0.453476   -0.619015   0.0497413
          37   -0.429624   -0.613897   0.0486596
          38   -0.425578   -0.608941   0.0476308
          39    -0.40742   -0.603774    0.046689
          40   -0.391088   -0.598456   0.0458235
          41   -0.400935   -0.593639   0.0449584
          42    -0.38425   -0.588653   0.0441635
          43   -0.371592   -0.583605    0.043424
          44   -0.361714   -0.578562   0.0427289
          45   -0.377305    -0.57409   0.0420128
          46   -0.385879   -0.569999   0.0412982
          47   -0.368623   -0.565714   0.0406412
          48   -0.327062   -0.560742   0.0400975
          49   -0.335653   -0.556148   0.0395414
          50   -0.367395   -0.552373   0.0389304
          51   -0.358976   -0.548581   0.0383513
          52   -0.340649   -0.544583   0.0378216
          53   -0.368714   -0.541264   0.0372533
          54   -0.391118   -0.538484    0.036667
