#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.27801     1.27801           0
           2     1.28296     1.28049  0.00175047
           3      1.2985     1.28649  0.00503954
           4     1.30726     1.29168  0.00587417
           5     1.31075      1.2955  0.00580648
           6     1.29165     1.29485    0.004874
           7     1.28367     1.29326  0.00443179
           8     1.28509     1.29224  0.00399363
           9     1.27784     1.29064  0.00385698
          10     1.28544     1.29012  0.00350606
          11     1.29189     1.29028  0.00319104
          12     1.31352     1.29222  0.00346356
          13     1.33218     1.29529  0.00435245
          14     1.32708     1.29756  0.00459605
          15     1.29931     1.29768  0.00429112
          16     1.30309     1.29802  0.00403625
          17     1.30853     1.29863  0.00384595
          18     1.32125     1.29989  0.00383198
          19     1.33945     1.30197  0.00415755
          20     1.33497     1.30362  0.00426454
          21     1.32845      1.3048  0.00422212
          22     1.32881      1.3059   0.0041688
          23      1.3094     1.30605  0.00399033
          24     1.30854     1.30615  0.00382541
          25     1.32884     1.30706  0.00377852
          26     1.31853      1.3075  0.00365887
          27     1.30778     1.30751  0.00352337
          28     1.30621     1.30746  0.00339784
          29     1.31508     1.30773   0.0032908
          30     1.32684     1.30836  0.00324218
          31     1.32308     1.30884  0.00317214
          32     1.33345     1.30961  0.00316485
          33     1.33162     1.31027  0.00313843
          34      1.3279     1.31079  0.00308865
          35     1.30761      1.3107  0.00300174
          36     1.31608     1.31085  0.00292208
          37     1.34273     1.31171  0.00296744
          38     1.32116     1.31196  0.00289974
          39     1.31659     1.31208  0.00282781
          40     1.32667     1.31245  0.00278054
          41     1.33519       1.313  0.00276748
          42     1.37383     1.31445  0.00305717
          43     1.40314     1.31651  0.00361547
          44     1.39968      1.3184    0.003997
          45     1.38488     1.31988  0.00417227
          46     1.37817     1.32115  0.00426966
          47     1.34944     1.32175  0.00422105
          48     1.34597     1.32225  0.00416316
          49     1.34039     1.32262  0.00409461
          50     1.33452     1.32286  0.00401963
          51     1.33943     1.32319  0.00395393
          52     1.34666     1.32364  0.00390359
          53     1.35201     1.32417  0.00386647
          54     1.36466     1.32492  0.00386688
          55     1.35994     1.32556  0.00384864
          56      1.3217     1.32549  0.00378053
          57     1.34687     1.32586  0.00373276
          58     1.38381     1.32686  0.00379975
          59     1.37836     1.32774   0.0038343
          60     1.34771     1.32807  0.00378482
          61      1.3432     1.32832  0.00373089
          62      1.3429     1.32855  0.00367812
          63     1.35481     1.32897  0.00364328
          64     1.36027     1.32946  0.00361902
          65     1.36024     1.32993   0.0035942
          66     1.36499     1.33046  0.00357878
          67     1.38015      1.3312  0.00360139
          68     1.36407     1.33169   0.0035807
          69     1.33353     1.33171   0.0035289
          70     1.31512     1.33148  0.00348645
          71     1.31309     1.33122  0.00344695
          72     1.29927     1.33077  0.00342752
          73      1.2823     1.33011   0.0034443
          74     1.27083     1.32931  0.00348968
          75      1.2748     1.32858  0.00351802
          76     1.28204     1.32797  0.00352464
          77     1.30677      1.3277   0.0034896
          78     1.30927     1.32746  0.00345285
          79     1.30731      1.3272  0.00341855
          80     1.34354     1.32741  0.00338191
          81     1.36649     1.32789  0.00337441
          82     1.36106     1.32829  0.00335741
          83     1.32977     1.32831  0.00331701
          84     1.30689     1.32806  0.00328731
          85     1.30373     1.32777  0.00326107
          86     1.30845     1.32755  0.00323088
          87     1.34248     1.32772   0.0031983
          88     1.34202     1.32788  0.00316608
          89      1.3271     1.32787  0.00313052
          90     1.32766     1.32787  0.00309573
          91     1.33411     1.32794  0.00306247
          92     1.30818     1.32772  0.00303671
          93      1.3029     1.32746  0.00301577
          94     1.30389     1.32721  0.00299409
          95     1.29151     1.32683  0.00298606
          96     1.31002     1.32666  0.00296008
          97     1.32109      1.3266  0.00293012
          98     1.33212     1.32665  0.00290076
          99     1.36488     1.32704  0.00289705
         100     1.40204     1.32779  0.00296357
         101     1.39027     1.32841  0.00299809
         102     1.36834      1.3288  0.00299415
         103     1.34092     1.32892  0.00296739
         104     1.33197     1.32895  0.00293901
         105      1.3268     1.32893  0.00291109
         106       1.331     1.32895  0.00288369
         107     1.33354     1.32899  0.00285706
         108     1.33524     1.32905  0.00283119
         109     1.34027     1.32915  0.00280709
         110     1.35289     1.32937  0.00278985
         111     1.35106     1.32956  0.00277156
         112     1.32858     1.32955  0.00274683
         113     1.32974     1.32955  0.00272252
         114     1.34167     1.32966  0.00270071
         115     1.34851     1.32982   0.0026822
         116       1.344     1.32995  0.00266186
         117     1.33408     1.32998  0.00263934
         118     1.33844     1.33005  0.00261795
         119     1.31556     1.32993  0.00259878
         120     1.29701     1.32966  0.00259157
         121     1.31225     1.32951  0.00257414
         122      1.3154      1.3294  0.00255564
         123     1.30862     1.32923  0.00254043
         124      1.3125     1.32909  0.00252352
         125     1.32622     1.32907  0.00250344
         126     1.33139     1.32909  0.00248364
         127     1.32264     1.32904   0.0024646
