#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.34978     1.34978           0
           2     1.44547     1.39763   0.0338345
           3     1.44696     1.41407   0.0262504
           4     1.42043     1.41566   0.0197359
           5     1.40033      1.4126   0.0160252
           6     1.42207     1.41417   0.0134319
           7      1.4329     1.41685   0.0117763
           8      1.4326     1.41882   0.0104677
           9     1.43545     1.42067  0.00946622
          10     1.45361     1.42396  0.00907485
          11     1.43007     1.42452  0.00826686
          12     1.44406     1.42614  0.00773672
          13     1.42299      1.4259   0.0071454
          14     1.43316     1.42642  0.00665381
          15     1.43322     1.42687  0.00622564
          16     1.40731     1.42565  0.00595536
          17     1.40752     1.42458   0.0056998
          18     1.41331     1.42396  0.00541745
          19     1.43184     1.42437  0.00514819
          20     1.43575     1.42494  0.00492212
