#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.05449     2.05449           0
           2     1.88206     1.96827   0.0609634
           3     1.65353     1.86336   0.0948141
           4     1.56521     1.78882   0.0960393
           5     1.51349     1.73376   0.0912626
           6     1.47251     1.69021   0.0858127
           7     1.45229     1.65623   0.0800022
           8     1.41471     1.62604   0.0754834
           9     1.41572     1.60267   0.0706212
          10     1.38429     1.58083   0.0668501
          11     1.35073     1.55991   0.0639619
          12     1.33315     1.54101   0.0613597
          13     1.34389     1.52585   0.0584835
          14      1.3543      1.5136    0.055575
          15     1.33727     1.50184   0.0530986
          16     1.32157     1.49057   0.0509613
          17      1.3484     1.48221    0.048645
          18     1.37995     1.47653    0.046273
          19     1.34935     1.46984   0.0443191
          20     1.33049     1.46287   0.0426473
          21     1.32614     1.45636   0.0411105
          22     1.30877     1.44965   0.0397854
          23     1.31877     1.44396   0.0384604
          24     1.29641     1.43781    0.037346
          25     1.29872     1.43225   0.0362642
          26      1.2976     1.42707   0.0352373
          27     1.31761     1.42302   0.0341646
          28      1.3313     1.41974   0.0331011
          29     1.33097     1.41668   0.0321009
          30     1.34529      1.4143    0.031119
          31     1.34454     1.41205   0.0301964
          32     1.32702     1.40939   0.0293694
          33     1.34212     1.40735   0.0285501
          34     1.33273     1.40516   0.0277946
          35     1.32052     1.40274   0.0271055
          36     1.31397     1.40027   0.0264645
          37        1.33     1.39837   0.0258173
          38     1.29407     1.39563   0.0252834
          39     1.29338     1.39301   0.0247706
          40     1.30031     1.39069   0.0242596
          41     1.29525     1.38836   0.0237793
          42     1.31128     1.38653   0.0232838
          43      1.2887     1.38425   0.0228532
          44     1.29577     1.38224   0.0224221
          45     1.28328     1.38004   0.0220314
          46     1.27791     1.37782   0.0216641
          47     1.31614     1.37651   0.0212429
          48     1.31125     1.37515   0.0208438
          49     1.32373      1.3741   0.0204448
          50     1.32689     1.37316   0.0200577
          51     1.33136     1.37234   0.0196811
          52      1.3291     1.37151   0.0193202
          53      1.3296     1.37071   0.0189718
          54     1.29333     1.36928   0.0186745
          55     1.28433     1.36774   0.0183988
          56     1.31591     1.36681   0.0180935
          57     1.29547     1.36556   0.0178193
          58     1.30004     1.36443   0.0175478
          59        1.32     1.36368   0.0172666
          60     1.33327     1.36317   0.0169862
          61     1.32844      1.3626   0.0167173
          62     1.34721     1.36235   0.0164495
          63     1.35148     1.36218   0.0161893
          64     1.28888     1.36104   0.0159768
          65     1.29073     1.35995   0.0157676
          66      1.2927     1.35893   0.0155616
          67     1.31016     1.35821   0.0153463
          68     1.32446     1.35771   0.0151287
          69     1.32916      1.3573   0.0149151
          70     1.29732     1.35644   0.0147266
          71     1.30682     1.35574   0.0145357
          72     1.26438     1.35447   0.0143891
          73     1.30214     1.35376   0.0142099
          74      1.3067     1.35312   0.0140321
          75     1.29337     1.35232   0.0138676
          76     1.29076     1.35151   0.0137087
          77     1.32319     1.35114   0.0135356
          78     1.33221      1.3509   0.0133643
          79     1.32011     1.35051   0.0132008
          80     1.32762     1.35023   0.0130389
          81     1.31437     1.34978   0.0128854
          82     1.30454     1.34923   0.0127401
          83     1.31148     1.34878   0.0125947
          84     1.31055     1.34832    0.012453
          85     1.32643     1.34806   0.0123092
          86     1.29389     1.34743   0.0121821
          87     1.31217     1.34703   0.0120488
          88     1.30104     1.34651   0.0119233
          89     1.31823     1.34619   0.0117935
          90     1.28179     1.34547   0.0116842
          91      1.2715     1.34466    0.011584
          92     1.26039     1.34374   0.0114943
          93     1.26377     1.34288   0.0114028
          94     1.29657     1.34239   0.0112921
          95     1.30958     1.34205   0.0111785
          96     1.30049     1.34161   0.0110705
          97     1.29057     1.34109   0.0109688
          98     1.29552     1.34062   0.0108668
          99     1.29007     1.34011    0.010769
         100     1.31729     1.33988   0.0106637
         101     1.27815     1.33927   0.0105756
         102     1.29499     1.33884   0.0104809
         103     1.30058     1.33847   0.0103857
         104     1.34428     1.33852    0.010286
         105     1.32086     1.33835   0.0101894
         106     1.29627     1.33796    0.010101
         107     1.28188     1.33743   0.0100202
         108     1.30267     1.33711  0.00993257
         109     1.34138     1.33715  0.00984153
         110     1.34981     1.33727  0.00975273
         111     1.35449     1.33742   0.0096661
         112     1.32115     1.33728  0.00958089
         113     1.31488     1.33708  0.00949815
         114     1.29793     1.33673  0.00942104
         115     1.31419     1.33654  0.00934116
         116     1.32252     1.33642  0.00926141
         117     1.31381     1.33622  0.00918427
         118      1.3305     1.33617  0.00910657
         119     1.34188     1.33622  0.00903017
         120     1.31724     1.33606   0.0089563
         121     1.32582     1.33598  0.00888268
         122     1.34066     1.33602  0.00880996
         123     1.37478     1.33633  0.00874397
         124     1.36079     1.33653  0.00867567
         125     1.32805     1.33646  0.00860653
         126     1.32316     1.33636  0.00853887
         127     1.35723     1.33652  0.00847322
         128     1.32958     1.33647   0.0084072
         129     1.33324     1.33644  0.00834206
         130     1.36553     1.33667  0.00828089
         131     1.37554     1.33696    0.008223
         132     1.36715     1.33719  0.00816388
         133     1.33796      1.3372   0.0081025
         134     1.35343     1.33732  0.00804294
         135     1.37566      1.3376  0.00798837
         136     1.36763     1.33782  0.00793269
         137     1.36301     1.33801  0.00787691
         138     1.37701     1.33829   0.0078249
         139     1.33039     1.33823  0.00776882
         140     1.29611     1.33793  0.00771915
         141     1.30604     1.33771  0.00766771
         142     1.32397     1.33761  0.00761433
         143     1.31811     1.33747   0.0075623
         144     1.30645     1.33726  0.00751285
         145     1.33277     1.33723   0.0074611
         146     1.28427     1.33686  0.00741881
         147     1.27384     1.33644  0.00738072
         148     1.32686     1.33637  0.00733114
         149     1.35697     1.33651  0.00728324
         150     1.34196     1.33654  0.00723477
         151      1.3634     1.33672  0.00718905
         152     1.31687     1.33659  0.00714294
         153     1.33137     1.33656  0.00709633
         154     1.37042     1.33678  0.00705366
         155     1.35463     1.33689  0.00700909
         156     1.34042     1.33692   0.0069642
         157     1.31201     1.33676  0.00692165
         158     1.34176     1.33679  0.00687791
         159     1.34422     1.33684  0.00683481
