#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01827     2.01827           0
           2      2.0907     2.05449   0.0256073
           3     1.97149     2.02682   0.0283152
           4     1.79263     1.96827   0.0549718
           5     1.67945     1.91051   0.0678487
           6     1.62761     1.86336   0.0710587
           7     1.59221     1.82462   0.0706812
           8     1.53821     1.78882    0.070331
           9     1.52848     1.75989   0.0682062
          10      1.4985     1.73376   0.0662051
          11     1.47704     1.71042   0.0641682
          12     1.46798     1.69021   0.0619198
          13     1.46078     1.67257   0.0596188
          14      1.4438     1.65623    0.057556
          15     1.42447     1.64077   0.0557541
          16     1.40494     1.62604   0.0541827
          17     1.40806     1.61321   0.0524908
          18     1.42337     1.60267   0.0506231
          19     1.39568     1.59177   0.0491169
          20     1.37291     1.58083   0.0478646
