#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0268148   0.0268148           0
           2   0.0244708   0.0256428 0.000828729
           3   0.0282432   0.0265096 0.000897851
           4   0.0271428   0.0266679 0.000687201
           5   0.0296016   0.0272546 0.000760032
           6    0.027698   0.0273285 0.000636942
           7   0.0288204   0.0275417 0.000580512
           8   0.0269304   0.0274652 0.000512952
           9   0.0249128   0.0271816 0.000528576
          10   0.0249584   0.0269593 0.000520378
          11   0.0297872   0.0272164 0.000532802
          12   0.0280428   0.0272853 0.000492832
          13   0.0280016   0.0273404 0.000457992
          14   0.0302168   0.0275458 0.000469106
          15   0.0277248   0.0275578 0.000437984
          16   0.0269488   0.0275197  0.00041226
          17    0.033428   0.0278672 0.000514038
          18    0.026948   0.0278162 0.000488011
          19   0.0251976   0.0276784 0.000481394
          20    0.026768   0.0276328 0.000459471
