#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0401108   0.0401108           0
           2   0.0390488   0.0395798 0.000375474
           3    0.038402   0.0391872 0.000406712
           4   0.0361924   0.0384385 0.000716561
           5    0.039544   0.0386596 0.000606401
           6   0.0374828   0.0384635 0.000536115
           7   0.0360428   0.0381177 0.000560059
           8   0.0406876   0.0384389 0.000574846
           9   0.0370992     0.03829 0.000529897
          10   0.0360528   0.0380663 0.000522004
          11   0.0387144   0.0381252 0.000477862
          12   0.0427588   0.0385114 0.000573194
          13    0.038992   0.0385483 0.000530293
          14   0.0399712     0.03865  0.00050206
          15   0.0378992   0.0385999 0.000471077
          16   0.0394664   0.0386541 0.000444737
          17    0.039972   0.0387316 0.000425279
          18   0.0379592   0.0386887 0.000403812
          19   0.0369052   0.0385948 0.000393317
          20   0.0432932   0.0388297 0.000438227
