#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.314656    0.314656           0
           2    0.318207    0.316432  0.00125553
           3     0.31694    0.316601 0.000848369
           4    0.316424    0.316557 0.000637436
           5      0.3181    0.316865 0.000579829
           6    0.317861    0.317031 0.000506363
           7    0.317987    0.317168 0.000452059
           8    0.317772    0.317243 0.000401821
           9    0.319733     0.31752 0.000442237
          10    0.316424     0.31741 0.000411364
          11    0.319038    0.317558 0.000399691
          12    0.317924    0.317589 0.000367546
          13    0.316471    0.317503 0.000349179
          14     0.31978    0.317666 0.000360134
          15    0.317911    0.317682 0.000336495
          16    0.318592    0.317739  0.00032024
          17    0.319252    0.317828 0.000313523
          18    0.315581    0.317703 0.000319985
          19    0.319773    0.317812 0.000321151
          20    0.316546    0.317749  0.00031127
