#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420405    0.420405           0
           2    0.417994    0.419199 0.000852693
           3    0.421139    0.419846 0.000775782
           4    0.423776    0.420828  0.00103077
           5    0.419874    0.420637 0.000842123
           6    0.421876    0.420844 0.000726634
           7    0.417888    0.420422 0.000735382
           8    0.419001    0.420244 0.000664551
           9    0.420289    0.420249 0.000590731
          10    0.422026    0.420427 0.000557742
          11    0.423412    0.420698 0.000569232
          12    0.416628    0.420359 0.000614589
          13    0.427463    0.420905 0.000772991
          14    0.425021    0.421199 0.000771663
          15    0.422874    0.421311  0.00072825
          16    0.419413    0.421192 0.000692329
          17    0.420836    0.421171 0.000651921
          18    0.417393    0.420962 0.000648626
          19    0.425392    0.421195 0.000655071
          20    0.422072    0.421239 0.000623785
