#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     71.6618     71.6618           0
           2     79.0125     75.3372     2.59887
           3     78.0551     76.2432     1.88389
           4      78.586     76.8289     1.50121
           5     80.2387     77.5108       1.347
           6     76.4527     77.3345     1.13398
           7     77.4735     77.3543    0.972159
           8     83.4612     78.1177     1.11061
           9     76.7993     77.9712    0.996824
          10     79.4321     78.1173    0.907783
          11     81.8671     78.4582    0.886956
          12     81.7956     78.7363    0.855537
          13     77.1096     78.6112    0.798824
          14     78.2962     78.5887    0.742082
          15     78.8033      78.603    0.692748
          16     78.9128     78.6223    0.649722
          17     79.3135      78.663    0.612774
          18     79.9681     78.7355    0.583004
          19     82.1937     78.9175    0.580036
          20     81.2173     79.0325    0.562317
