#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     77.7673     77.7673           0
           2     79.1011     78.4342    0.471542
           3     79.8533     78.9072    0.497987
           4     79.3846     79.0266    0.387526
           5     78.8425     78.9897    0.311765
           6     78.4489     78.8996    0.272524
           7     79.1027     78.9286    0.235131
           8     78.5463     78.8808    0.210541
           9     80.1301     79.0196    0.228369
          10     79.7785     79.0955    0.217776
          11     81.4721     79.3116    0.285709
          12     78.2707     79.2248    0.274751
          13     81.3778     79.3905      0.2994
          14     81.8248     79.5643    0.324603
          15     79.7117     79.5742    0.303111
          16     77.9061     79.4699    0.301563
          17     80.4958     79.5302      0.2898
          18     79.3141     79.5182    0.273948
          19     78.7989     79.4804    0.262133
          20     78.9238     79.4525    0.250499
