#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504966   -0.504966           0
           2   -0.504118   -0.504542 0.000300096
           3   -0.504325    -0.50447 0.000208615
           4   -0.504274   -0.504421 0.000162068
           5   -0.505005   -0.504538 0.000166506
           6   -0.504062   -0.504458 0.000156461
           7   -0.504702   -0.504493 0.000137913
           8   -0.504962   -0.504552 0.000132562
           9   -0.504183   -0.504511 0.000123999
          10   -0.504732   -0.504533 0.000113554
          11   -0.504897   -0.504566 0.000107941
          12   -0.504526   -0.504563  9.8996e-05
          13   -0.505164   -0.504609 0.000101613
          14   -0.505243   -0.504654 0.000103963
          15   -0.503395    -0.50457 0.000126457
          16   -0.505013   -0.504598 0.000121539
          17   -0.505141    -0.50463  0.00011851
          18   -0.504842   -0.504642 0.000112512
          19   -0.504807    -0.50465 0.000106927
          20   -0.505715   -0.504704 0.000114067
