#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849579   -0.849579           0
           2   -0.848986   -0.849283 0.000209586
           3   -0.848125   -0.848897 0.000344751
           4   -0.849707   -0.849099 0.000312474
           5   -0.846535   -0.848587 0.000522392
           6   -0.848326   -0.848543 0.000437123
           7   -0.847362   -0.848374 0.000405962
           8   -0.848882   -0.848438 0.000360149
           9    -0.84601   -0.848168 0.000408894
          10   -0.849082    -0.84826 0.000378089
          11   -0.848186   -0.848253 0.000343775
          12   -0.848258   -0.848253 0.000315128
          13   -0.849326   -0.848336 0.000301488
          14   -0.847966   -0.848309 0.000281111
          15   -0.847676   -0.848267 0.000265522
          16   -0.849014   -0.848314 0.000253001
          17   -0.851713   -0.848514 0.000307123
          18   -0.847173   -0.848439  0.00029896
          19   -0.847519   -0.848391  0.00028712
          20   -0.850424   -0.848493 0.000290203
