#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.44       -0.44           0
           2        -0.6       -0.52   0.0565685
           3        -0.6   -0.546667   0.0435465
           4       -0.68       -0.58    0.043589
           5       -0.76      -0.616   0.0474637
           6       -0.76       -0.64   0.0452155
           7       -0.84   -0.668571   0.0469228
           8       -0.84       -0.69   0.0456892
           9       -0.84   -0.706667   0.0435465
          10       -0.84       -0.72   0.0411825
          11       -0.84   -0.730909   0.0388567
          12       -0.84       -0.74   0.0366667
          13       -0.84   -0.747692   0.0346436
          14       -0.84   -0.754286   0.0327905
          15       -0.84       -0.76   0.0310984
          16       -0.84      -0.765    0.029554
          17       -0.84   -0.769412   0.0281429
          18       -0.84   -0.773333   0.0268512
          19       -0.84   -0.776842   0.0256662
          20       -0.84       -0.78   0.0245764
          21       -0.84   -0.782857   0.0235716
          22       -0.84   -0.785455   0.0226428
          23       -0.84   -0.787826   0.0217822
          24       -0.84       -0.79   0.0209828
          25       -0.84      -0.792   0.0202386
          26       -0.84   -0.793846   0.0195442
          27       -0.84   -0.795556   0.0188949
          28       -0.84   -0.797143   0.0182867
          29       -0.92   -0.801379   0.0181402
          30       -0.92   -0.805333   0.0179613
          31       -0.92   -0.809032   0.0177587
          32       -0.92     -0.8125    0.017539
          33       -0.92   -0.815758   0.0173074
          34       -0.92   -0.818824   0.0170678
          35       -0.92   -0.821714   0.0168231
          36       -0.92   -0.824444   0.0165759
          37       -0.92   -0.827027   0.0163278
          38       -0.92   -0.829474   0.0160804
          39       -0.92   -0.831795   0.0158347
          40       -0.92      -0.834   0.0155917
          41       -0.92   -0.836098   0.0153518
          42       -0.84    -0.83619   0.0149866
          43       -0.92    -0.83814   0.0147643
          44       -0.92       -0.84   0.0145455
          45       -0.92   -0.841778   0.0143305
          46       -0.92   -0.843478   0.0141195
          47       -0.92   -0.845106   0.0139126
          48       -0.92   -0.846667     0.01371
          49       -0.92   -0.848163   0.0135116
          50       -0.92     -0.8496   0.0133175
          51       -0.92    -0.85098   0.0131278
          52       -0.92   -0.852308   0.0129422
          53       -0.92   -0.853585   0.0127609
          54       -0.92   -0.854815   0.0125837
          55       -0.92      -0.856   0.0124106
          56       -0.92   -0.857143   0.0122415
          57       -0.92   -0.858246   0.0120763
          58       -0.92    -0.85931   0.0119149
          59       -0.92   -0.860339   0.0117573
          60       -0.92   -0.861333   0.0116033
          61       -0.92   -0.862295   0.0114529
          62       -0.92   -0.863226   0.0113059
          63       -0.92   -0.864127   0.0111623
          64       -0.92      -0.865    0.011022
          65       -0.92   -0.865846   0.0108849
          66       -0.92   -0.866667   0.0107508
          67       -0.92   -0.867463   0.0106198
          68       -0.92   -0.868235   0.0104917
          69       -0.92   -0.868986   0.0103664
          70       -0.92   -0.869714   0.0102439
          71       -0.92   -0.870423   0.0101241
          72       -0.92   -0.871111   0.0100069
          73       -0.92   -0.871781  0.00989216
          74       -0.92   -0.872432  0.00977992
          75       -0.92   -0.873067  0.00967007
          76       -0.92   -0.873684  0.00956253
          77       -0.92   -0.874286  0.00945724
          78       -0.92   -0.874872  0.00935413
          79       -0.92   -0.875443  0.00925315
          80       -0.92      -0.876  0.00915423
          81       -0.92   -0.876543  0.00905732
          82       -0.92   -0.877073  0.00896236
          83       -0.92    -0.87759  0.00886929
          84       -0.92   -0.878095  0.00877806
          85       -0.92   -0.878588  0.00868862
          86       -0.92    -0.87907  0.00860092
          87       -0.92    -0.87954  0.00851492
          88       -0.92       -0.88  0.00843056
          89       -0.92   -0.880449  0.00834781
          90       -0.92   -0.880889  0.00826661
          91       -0.92   -0.881319  0.00818694
          92       -0.92   -0.881739  0.00810874
          93       -0.92   -0.882151  0.00803198
          94       -0.92   -0.882553  0.00795662
          95       -0.92   -0.882947  0.00788262
          96       -0.92   -0.883333  0.00780995
          97       -0.92   -0.883711  0.00773858
          98       -0.92   -0.884082  0.00766847
          99       -0.92   -0.884444  0.00759959
         100       -0.92     -0.8848  0.00753191
         101       -0.92   -0.885149  0.00746539
         102       -0.92    -0.88549  0.00740002
         103       -0.92   -0.885825  0.00733575
         104       -0.92   -0.886154  0.00727257
         105       -0.92   -0.886476  0.00721045
         106       -0.92   -0.886792  0.00714936
         107       -0.92   -0.887103  0.00708928
         108       -0.92   -0.887407  0.00703017
         109       -0.92   -0.887706  0.00697203
         110       -0.92      -0.888  0.00691483
         111       -0.92   -0.888288  0.00685854
         112       -0.92   -0.888571  0.00680315
         113       -0.92    -0.88885  0.00674862
         114       -0.92   -0.889123  0.00669496
         115       -0.92   -0.889391  0.00664212
         116       -0.92   -0.889655   0.0065901
         117       -0.92   -0.889915  0.00653888
         118       -0.92   -0.890169  0.00648843
         119       -0.92    -0.89042  0.00643875
         120       -0.92   -0.890667  0.00638981
         121       -0.92   -0.890909   0.0063416
         122       -0.92   -0.891148   0.0062941
         123       -0.92   -0.891382  0.00624729
         124       -0.92   -0.891613  0.00620117
         125       -0.92    -0.89184  0.00615572
         126       -0.92   -0.892063  0.00611092
         127       -0.92   -0.892283  0.00606676
         128       -0.92     -0.8925  0.00602323
         129       -0.92   -0.892713  0.00598031
         130       -0.92   -0.892923  0.00593799
         131       -0.92    -0.89313  0.00589626
         132       -0.92   -0.893333   0.0058551
         133       -0.92   -0.893534  0.00581451
         134       -0.92   -0.893731  0.00577447
         135       -0.92   -0.893926  0.00573498
         136       -0.92   -0.894118  0.00569601
         137       -0.92   -0.894307  0.00565757
         138       -0.92   -0.894493  0.00561963
         139       -0.92   -0.894676   0.0055822
         140       -0.92   -0.894857  0.00554526
         141       -0.92   -0.895035  0.00550879
         142       -0.92   -0.895211   0.0054728
         143       -0.92   -0.895385  0.00543728
         144       -0.92   -0.895556   0.0054022
         145       -0.92   -0.895724  0.00536758
         146       -0.92    -0.89589  0.00533339
         147       -0.92   -0.896054  0.00529963
         148       -0.92   -0.896216  0.00526629
         149       -0.92   -0.896376  0.00523336
         150       -0.92   -0.896533  0.00520084
         151       -0.92   -0.896689  0.00516872
         152       -0.92   -0.896842  0.00513699
         153       -0.92   -0.896993  0.00510565
         154       -0.92   -0.897143  0.00507468
         155       -0.92    -0.89729  0.00504408
         156       -0.92   -0.897436  0.00501385
         157       -0.92    -0.89758  0.00498397
         158       -0.92   -0.897722  0.00495445
         159       -0.92   -0.897862  0.00492527
         160       -0.92      -0.898  0.00489643
         161       -0.92   -0.898137  0.00486792
         162       -0.92   -0.898272  0.00483974
         163       -0.92   -0.898405  0.00481189
         164       -0.92   -0.898537  0.00478435
         165       -0.92   -0.898667  0.00475712
         166       -0.92   -0.898795   0.0047302
         167       -0.92   -0.898922  0.00470358
         168       -0.92   -0.899048  0.00467725
         169       -0.92   -0.899172  0.00465122
         170       -0.84   -0.898824  0.00463686
         171       -0.84    -0.89848  0.00462249
         172       -0.84    -0.89814   0.0046081
         173       -0.84   -0.897803   0.0045937
         174       -0.84   -0.897471   0.0045793
         175       -0.84   -0.897143  0.00456489
         176       -0.84   -0.896818  0.00455049
         177       -0.84   -0.896497  0.00453609
         178       -0.84    -0.89618  0.00452169
         179       -0.84   -0.895866  0.00450731
         180       -0.84   -0.895556  0.00449295
         181       -0.84   -0.895249  0.00447859
         182       -0.84   -0.894945  0.00446426
         183       -0.84   -0.894645  0.00444995
         184       -0.84   -0.894348  0.00443567
         185       -0.84   -0.894054  0.00442141
         186       -0.84   -0.893763  0.00440718
         187       -0.84   -0.893476  0.00439298
         188       -0.84   -0.893191  0.00437881
         189       -0.84    -0.89291  0.00436468
         190       -0.84   -0.892632  0.00435058
         191       -0.84   -0.892356  0.00433652
         192       -0.84   -0.892083   0.0043225
         193       -0.84   -0.891813  0.00430852
         194       -0.84   -0.891546  0.00429458
         195       -0.84   -0.891282  0.00428068
         196       -0.84    -0.89102  0.00426683
         197       -0.84   -0.890761  0.00425302
         198       -0.92   -0.890909  0.00423411
         199       -0.92   -0.891055  0.00421535
         200       -0.92     -0.8912  0.00419676
         201       -0.92   -0.891343  0.00417833
         202       -0.92   -0.891485  0.00416005
         203       -0.92   -0.891626  0.00414193
         204       -0.92   -0.891765  0.00412396
         205       -0.92   -0.891902  0.00410614
         206       -0.92   -0.892039  0.00408847
         207       -0.92   -0.892174  0.00407095
         208       -0.92   -0.892308  0.00405358
         209       -0.92    -0.89244  0.00403635
