#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.52       -0.52           0
           2       -0.44       -0.48   0.0282843
           3       -0.36       -0.44   0.0377124
           4       -0.52       -0.46   0.0331662
           5       -0.44      -0.456   0.0267731
           6       -0.52   -0.466667   0.0243432
           7       -0.52   -0.474286   0.0220257
           8       -0.68        -0.5   0.0308221
           9        -0.6   -0.511111   0.0293318
          10       -0.52      -0.512   0.0264121
          11       -0.52   -0.512727    0.024021
          12        -0.6       -0.52    0.023094
          13        -0.6   -0.526154   0.0221223
          14       -0.52   -0.525714   0.0205465
          15       -0.52   -0.525333   0.0191802
          16        -0.6       -0.53   0.0185405
          17       -0.76   -0.543529   0.0218352
          18       -0.68   -0.551111   0.0218989
          19       -0.44   -0.545263    0.021513
          20       -0.36      -0.536   0.0223428
          21       -0.28    -0.52381   0.0243787
          22       -0.28   -0.512727   0.0256662
          23        -0.6   -0.516522   0.0248292
          24        -0.6       -0.52    0.024037
          25       -0.44     -0.5168   0.0232876
          26       -0.52   -0.516923   0.0223922
          27        -0.2   -0.505185   0.0244465
          28       -0.36        -0.5   0.0241171
          29       -0.44   -0.497931    0.023374
          30       -0.52   -0.498667   0.0226065
          31       -0.44   -0.496774   0.0219563
          32       -0.36     -0.4925   0.0216822
          33       -0.52   -0.493333   0.0210412
          34        -0.2   -0.484706   0.0221204
          35        -0.2   -0.476571   0.0229354
          36       -0.28   -0.471111   0.0229391
          37       -0.44    -0.47027   0.0223345
          38        -0.6   -0.473684   0.0220061
          39       -0.68   -0.478974   0.0220686
          40       -0.44      -0.478   0.0215383
          41       -0.36   -0.475122   0.0212044
          42       -0.52    -0.47619   0.0207265
          43        -0.6    -0.47907   0.0204435
          44       -0.36   -0.476364   0.0201572
          45       -0.44   -0.475556   0.0197254
          46       -0.28   -0.471304   0.0197494
          47       -0.44   -0.470638   0.0193404
          48       -0.44       -0.47    0.018948
          49       -0.28   -0.466122   0.0189539
          50       -0.44     -0.4656   0.0185821
          51       -0.36   -0.463529   0.0183327
          52       -0.44   -0.463077   0.0179857
          53       -0.52   -0.464151   0.0176784
          54       -0.44   -0.463704   0.0173567
          55        -0.6   -0.466182   0.0172171
          56       -0.28   -0.462857   0.0172277
          57       -0.44   -0.462456   0.0169301
          58       -0.52   -0.463448   0.0166673
          59       -0.52   -0.464407   0.0164123
          60       -0.36   -0.462667   0.0162307
          61       -0.12   -0.457049   0.0169089
          62       -0.36   -0.455484   0.0167084
          63       -0.44   -0.455238    0.016445
          64       -0.52    -0.45625   0.0162192
          65       -0.52   -0.457231   0.0159993
          66       -0.36   -0.455758   0.0158245
          67       -0.44   -0.455522   0.0155901
