#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.295366    0.295366           0
           2    0.291683    0.293524  0.00130209
           3    0.293404    0.293484  0.00086867
           4    0.293577    0.293507 0.000651812
           5    0.300981    0.295002  0.00143496
           6    0.292507    0.294586  0.00125459
           7    0.286527    0.293435   0.0015141
           8    0.295248    0.293662  0.00134169
           9     0.29442    0.293746  0.00119525
          10    0.290998    0.293471  0.00110687
          11    0.290244    0.293178   0.0010444
          12    0.291371    0.293027 0.000968159
          13    0.295098    0.293186 0.000906693
          14    0.292792    0.293158 0.000842367
          15     0.29241    0.293108 0.000787684
          16    0.304358    0.293811  0.00100436
          17     0.29892    0.294112 0.000989207
          18    0.301153    0.294503  0.00100863
          19     0.29491    0.294524 0.000955772
          20    0.294828     0.29454 0.000908104
          21    0.296966    0.294655 0.000872179
          22    0.291616    0.294517 0.000843404
          23     0.28809    0.294238 0.000851772
          24    0.295671    0.294297 0.000818374
          25    0.290348    0.294139 0.000800743
          26    0.294154     0.29414 0.000769945
          27    0.299273     0.29433 0.000764542
          28    0.288045    0.294106 0.000769484
          29    0.294516     0.29412  0.00074308
          30      0.2871    0.293886 0.000754256
          31    0.301568    0.294134 0.000769559
          32    0.294532    0.294146 0.000745611
          33    0.294563    0.294159 0.000723124
          34    0.294588    0.294171 0.000701966
          35    0.301185    0.294372 0.000709936
          36    0.285944    0.294138 0.000727792
          37    0.291232    0.294059 0.000712345
          38    0.283401    0.293779 0.000746773
          39    0.288298    0.293638 0.000740727
          40    0.286796    0.293467 0.000741695
          41     0.29554    0.293518 0.000725325
          42    0.302939    0.293742 0.000741936
          43    0.293145    0.293728 0.000724812
          44    0.292121    0.293691 0.000709258
          45    0.294041    0.293699 0.000693539
          46    0.296929    0.293769 0.000682007
          47    0.287537    0.293637 0.000680263
          48    0.284209     0.29344 0.000693868
          49    0.296408    0.293501 0.000682345
          50    0.290711    0.293445 0.000670976
          51    0.297378    0.293522 0.000662236
          52    0.301477    0.293675 0.000666934
          53    0.290016    0.293606 0.000657914
          54    0.296153    0.293653 0.000647418
          55    0.297318     0.29372 0.000639067
          56     0.29652     0.29377 0.000629608
          57    0.289372    0.293693 0.000623271
          58    0.293034    0.293681 0.000612628
          59    0.292309    0.293658 0.000602686
          60    0.293881    0.293662 0.000592653
          61     0.29019    0.293605 0.000585664
          62    0.291497    0.293571 0.000577204
          63    0.296552    0.293618 0.000569979
          64    0.292649    0.293603 0.000561274
          65    0.289756    0.293544 0.000555752
          66    0.291264    0.293509 0.000548404
          67    0.293288    0.293506 0.000540229
          68    0.297665    0.293567 0.000535735
          69    0.288861    0.293499 0.000532295
          70    0.292355    0.293483 0.000524942
          71    0.294072    0.293491 0.000517614
          72    0.291169    0.293459 0.000511429
          73     0.29332    0.293457 0.000504426
          74    0.291394    0.293429 0.000498379
          75    0.293061    0.293424 0.000491758
          76    0.286732    0.293336 0.000493107
          77    0.293177    0.293334 0.000486708
          78    0.290183    0.293294 0.000482141
          79    0.284235    0.293179 0.000489483
          80    0.293561    0.293184 0.000483388
          81    0.295017    0.293206  0.00047795
          82     0.29558    0.293235 0.000472997
          83    0.303564     0.29336  0.00048339
          84    0.293138    0.293357 0.000477643
          85    0.283308    0.293239 0.000486434
          86    0.298114    0.293296 0.000484069
          87    0.296107    0.293328 0.000479583
          88    0.290474    0.293295 0.000475229
          89    0.300249    0.293374 0.000476268
          90    0.286936    0.293302 0.000476317
          91    0.289444     0.29326 0.000472966
          92    0.284318    0.293162 0.000477707
          93    0.300305    0.293239 0.000478704
          94    0.293485    0.293242 0.000473619
          95    0.284387    0.293149 0.000477717
          96    0.290272    0.293119  0.00047368
          97    0.291822    0.293105 0.000468985
          98    0.293538     0.29311 0.000464221
          99    0.302828    0.293208 0.000469797
         100    0.296633    0.293242 0.000466346
