#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.42045     0.42045           0
           2    0.459299    0.439875   0.0137353
           3    0.420628    0.433459   0.0105493
           4    0.467227    0.441901   0.0107727
           5    0.449953    0.443511  0.00873771
           6    0.429163     0.44112  0.00760164
           7    0.457005    0.443389  0.00684603
           8    0.426111     0.44123  0.00632178
           9    0.450089    0.442214  0.00569548
          10    0.445908    0.442583   0.0051379
          11    0.432443    0.441661   0.0047528
          12    0.440947    0.441602  0.00435711
          13    0.399607    0.438371  0.00508024
          14    0.432403    0.437945  0.00473522
          15    0.430647    0.437459  0.00444446
          16    0.447109    0.438062  0.00420741
          17     0.45445    0.439026  0.00406886
          18     0.43464    0.438782   0.0038501
          19    0.429844    0.438312  0.00367609
          20    0.421442    0.437468  0.00358775
          21    0.468347    0.438939    0.003706
          22    0.448696    0.439382  0.00356399
          23    0.426204    0.438809  0.00345478
          24    0.409777    0.437599  0.00351624
          25    0.448624     0.43804  0.00340313
          26    0.416414    0.437209  0.00337236
          27     0.44777      0.4376  0.00327006
          28    0.440932    0.437719  0.00315544
          29    0.419987    0.437107  0.00310531
          30     0.43565    0.437059  0.00300218
          31    0.446952    0.437378  0.00292225
          32    0.426527    0.437039  0.00285053
          33    0.424875     0.43667  0.00278788
          34    0.448152    0.437008  0.00272626
          35    0.440952    0.437121   0.0026507
          36    0.460812    0.437779  0.00265751
          37    0.436736    0.437751  0.00258583
          38    0.439449    0.437795  0.00251817
          39    0.430572     0.43761   0.0024604
          40    0.457596     0.43811   0.0024491
          41    0.435731    0.438052  0.00239005
          42    0.428451    0.437823  0.00234405
          43    0.434766    0.437752  0.00229062
          44     0.44878    0.438003  0.00225223
          45     0.44433    0.438143  0.00220656
          46    0.435507    0.438086  0.00215934
          47    0.434414    0.438008  0.00211481
          48    0.429006     0.43782  0.00207905
          49     0.43307    0.437723  0.00203888
          50    0.435632    0.437681  0.00199853
          51    0.450255    0.437928  0.00197449
          52    0.421929     0.43762  0.00196034
          53    0.438452    0.437636  0.00192342
          54    0.457823     0.43801  0.00192379
          55    0.416528    0.437619  0.00192805
          56    0.423546    0.437368  0.00190993
          57    0.448308     0.43756  0.00188604
          58    0.449898    0.437773  0.00186548
          59    0.436798    0.437756  0.00183394
          60    0.444986    0.437877  0.00180732
          61    0.443648    0.437971  0.00178017
          62    0.439615    0.437998  0.00175166
          63    0.443841     0.43809  0.00172631
          64    0.421464    0.437831  0.00171877
          65    0.456453    0.438117  0.00171604
          66    0.435429    0.438076  0.00169052
          67    0.453034      0.4383  0.00167996
          68    0.435021    0.438252  0.00165595
          69    0.435978    0.438219  0.00163228
          70     0.42636    0.438049  0.00161773
          71    0.433941    0.437991  0.00159598
          72    0.456472    0.438248  0.00159432
          73    0.434321    0.438194  0.00157339
          74    0.424397    0.438008  0.00156313
          75    0.448024    0.438141  0.00154798
          76    0.426003    0.437982  0.00153583
          77    0.447517    0.438105  0.00152087
          78    0.436302    0.438082  0.00150155
          79    0.440591    0.438114  0.00148288
          80    0.431479    0.438031  0.00146666
          81    0.429159    0.437922  0.00145264
          82    0.442613    0.437979  0.00143605
          83    0.424369    0.437815  0.00142808
          84    0.439115     0.43783  0.00141116
          85    0.444839    0.437913  0.00139696
          86    0.455342    0.438115  0.00139535
          87    0.443512    0.438177  0.00138069
          88    0.433604    0.438125  0.00136597
          89    0.447375    0.438229  0.00135457
          90      0.4495    0.438355   0.0013453
          91    0.425368    0.438212  0.00133806
          92    0.415938     0.43797  0.00134524
          93     0.42168    0.437795  0.00134213
          94    0.425835    0.437667  0.00133387
          95    0.422395    0.437507  0.00132948
          96    0.405147     0.43717   0.0013577
          97    0.438716    0.437186  0.00134379
          98    0.438082    0.437195  0.00133011
          99    0.441854    0.437242  0.00131751
         100    0.425364    0.437123  0.00130968
