#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1          -1          -1           0
           2       -0.92       -0.96   0.0282843
           3       -0.92   -0.946667   0.0217732
           4          -1       -0.96        0.02
           5          -1      -0.968   0.0175271
           6       -0.92       -0.96   0.0163299
           7          -1   -0.965714   0.0149635
           8          -1       -0.97   0.0136931
           9          -1   -0.973333   0.0125708
          10          -1      -0.976   0.0115931
          11          -1   -0.978182   0.0107425
          12          -1       -0.98        0.01
          13       -0.92   -0.975385   0.0102406
          14       -0.92   -0.971429   0.0102448
          15          -1   -0.973333  0.00973729
          16          -1      -0.975  0.00927025
          17          -1   -0.976471  0.00884081
          18          -1   -0.977778  0.00844574
          19          -1   -0.978947  0.00808181
          20          -1       -0.98  0.00774597
          21          -1   -0.980952  0.00743543
          22       -0.92   -0.978182  0.00759612
          23          -1    -0.97913  0.00732484
          24          -1       -0.98  0.00707107
          25          -1     -0.9808  0.00683333
          26          -1   -0.981538  0.00661029
          27          -1   -0.982222  0.00640073
          28          -1   -0.982857  0.00620354
          29          -1   -0.983448  0.00601773
          30          -1      -0.984  0.00584237
          31          -1   -0.984516  0.00567666
          32          -1      -0.985  0.00551985
          33          -1   -0.985455  0.00537127
          34          -1   -0.985882   0.0052303
          35          -1   -0.986286  0.00509639
          36          -1   -0.986667  0.00496904
          37          -1   -0.987027  0.00484779
          38          -1   -0.987368  0.00473222
          39          -1   -0.987692  0.00462195
          40          -1      -0.988  0.00451664
          41       -0.92   -0.986341  0.00470113
          42       -0.76   -0.980952  0.00702933
          43       -0.92   -0.979535  0.00700732
          44       -0.92   -0.978182  0.00697748
          45       -0.92   -0.976889  0.00694118
          46       -0.92   -0.975652  0.00689958
          47       -0.92   -0.974468  0.00685363
          48       -0.92   -0.973333  0.00680414
          49       -0.92   -0.972245  0.00675177
          50       -0.84     -0.9696  0.00711595
          51       -0.92   -0.968627  0.00704257
          52       -0.92   -0.967692  0.00696895
          53          -1   -0.968302  0.00686407
          54          -1   -0.968889  0.00676201
          55          -1   -0.969455  0.00666268
          56          -1       -0.97  0.00656599
