#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1          -1          -1           0
           2       -0.92       -0.96   0.0282843
           3       -0.92   -0.946667   0.0217732
           4          -1       -0.96        0.02
           5          -1      -0.968   0.0175271
           6       -0.92       -0.96   0.0163299
           7          -1   -0.965714   0.0149635
           8          -1       -0.97   0.0136931
           9          -1   -0.973333   0.0125708
          10          -1      -0.976   0.0115931
          11          -1   -0.978182   0.0107425
          12          -1       -0.98        0.01
          13       -0.92   -0.975385   0.0102406
          14       -0.92   -0.971429   0.0102448
          15       -0.92      -0.968   0.0101193
          16          -1       -0.97  0.00968246
          17          -1   -0.971765  0.00927232
          18          -1   -0.973333  0.00888889
          19          -1   -0.974737  0.00853114
          20          -1      -0.976  0.00819756
          21          -1   -0.977143  0.00788646
          22       -0.92   -0.974545  0.00794421
          23          -1   -0.975652  0.00767551
          24          -1   -0.976667  0.00742244
          25          -1     -0.9776  0.00718398
          26          -1   -0.978462  0.00695914
          27          -1   -0.979259  0.00674696
          28          -1       -0.98  0.00654654
          29          -1    -0.98069  0.00635702
          30          -1   -0.981333  0.00617762
          31          -1   -0.981935  0.00600761
          32          -1     -0.9825  0.00584634
          33          -1    -0.98303  0.00569318
          34          -1   -0.983529  0.00554757
          35          -1      -0.984  0.00540899
          36          -1   -0.984444  0.00527697
          37          -1   -0.984865  0.00515107
          38          -1   -0.985263  0.00503089
          39          -1   -0.985641  0.00491606
          40          -1      -0.986  0.00480625
          41       -0.92    -0.98439  0.00495126
          42       -0.76   -0.979048   0.0071572
          43       -0.84   -0.975814  0.00768662
          44       -0.84   -0.972727  0.00810802
          45       -0.84   -0.969778   0.0084473
          46       -0.84   -0.966957  0.00872208
          47          -1    -0.96766  0.00856479
          48          -1   -0.968333  0.00841282
          49          -1    -0.96898  0.00826591
          50       -0.92      -0.968  0.00815843
          51       -0.92   -0.967059  0.00805257
          52          -1   -0.967692  0.00792259
          53          -1   -0.968302  0.00779652
          54          -1   -0.968889  0.00767421
          55          -1   -0.969455  0.00755549
          56          -1       -0.97  0.00744024
          57          -1   -0.970526   0.0073283
