#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1           3           3           0
           2     2.99989     2.99995 3.81733e-05
           3     2.99957     2.99982 0.000105854
           4     2.99903     2.99962 0.000188669
           5     2.99827     2.99935 0.000284412
           6      2.9973     2.99901 0.000391716
           7     2.99611      2.9986 0.000509687
           8      2.9947     2.99811 0.000637721
           9     2.99306     2.99755  0.00077541
          10     2.99119     2.99691 0.000922486
          11     2.98908      2.9962  0.00107879
          12     2.98674     2.99541  0.00124426
          13     2.98414     2.99455  0.00141888
          14     2.98129      2.9936  0.00160263
          15     2.97818     2.99257  0.00179557
          16     2.97479     2.99146  0.00199789
          17     2.97112     2.99026  0.00220972
          18     2.96716     2.98898  0.00243123
          19      2.9629     2.98761  0.00266266
          20     2.95832     2.98614  0.00290435
          21     2.95341     2.98458  0.00315663
          22     2.94816     2.98293  0.00341988
          23     2.94255     2.98117  0.00369449
          24     2.93656     2.97931  0.00398081
          25     2.93018     2.97735  0.00427927
          26      2.9234     2.97527  0.00459032
          27     2.91618     2.97308  0.00491441
          28     2.90852     2.97078  0.00525202
          29      2.9004     2.96835  0.00560364
          30     2.89179      2.9658  0.00596972
          31     2.88269     2.96312  0.00635074
          32     2.87305      2.9603  0.00674722
          33     2.86287     2.95735   0.0071597
          34     2.85212     2.95426  0.00758872
          35     2.84077     2.95101  0.00803484
          36      2.8288     2.94762   0.0084986
          37      2.8162     2.94407  0.00898052
          38     2.80294     2.94035  0.00948106
          39     2.78901     2.93647   0.0100007
          40     2.77437     2.93242   0.0105398
          41     2.75902     2.92819   0.0110989
          42     2.74294     2.92378   0.0116782
          43     2.72611     2.91918   0.0122781
          44     2.70851      2.9144   0.0128989
          45     2.69014     2.90941   0.0135408
          46     2.67099     2.90423   0.0142038
          47     2.65106     2.89884   0.0148879
          48     2.63034     2.89325   0.0155933
          49     2.60885     2.88744   0.0163195
          50     2.58659     2.88143   0.0170664
          51     2.56357     2.87519   0.0178335
          52     2.53981     2.86875   0.0186204
          53     2.51535     2.86208   0.0194262
          54      2.4902     2.85519   0.0202504
          55     2.46441     2.84809   0.0210919
          56     2.43802     2.84076   0.0219496
          57     2.41106     2.83322   0.0228224
          58     2.38361     2.82547   0.0237089
          59      2.3557     2.81751   0.0246078
          60      2.3274     2.80934   0.0255174
          61     2.29878     2.80097   0.0264362
          62     2.26988     2.79241   0.0273624
          63     2.24079     2.78365   0.0282943
          64     2.21157     2.77471   0.0292301
          65     2.18229      2.7656   0.0301679
          66     2.15301     2.75632   0.0311058
          67     2.12381     2.74688   0.0320421
          68     2.09474     2.73728   0.0329749
          69     2.06586     2.72755   0.0339024
          70     2.03725     2.71769   0.0348227
          71     2.00897     2.70771   0.0357343
          72     1.98106     2.69762   0.0366355
          73      1.9536     2.68743   0.0375246
          74     1.92662     2.67715   0.0384001
          75     1.90019     2.66679   0.0392606
          76     1.87435     2.65636   0.0401047
          77     1.84917     2.64588    0.040931
          78     1.82468     2.63535   0.0417383
          79     1.80095     2.62479   0.0425254
          80     1.77801      2.6142   0.0432911
          81     1.75592      2.6036   0.0440343
          82     1.73471     2.59301    0.044754
          83     1.71445     2.58242   0.0454494
          84     1.69517     2.57186   0.0461194
          85     1.67691     2.56133   0.0467632
          86     1.65971     2.55085   0.0473801
          87     1.64362     2.54042   0.0479693
          88     1.62866     2.53006   0.0485302
          89     1.61486     2.51978   0.0490623
          90     1.60225     2.50958    0.049565
          91     1.59084     2.49949    0.050038
          92     1.58064      2.4895    0.050481
          93     1.57167     2.47963   0.0508938
          94     1.56391     2.46989   0.0512763
          95     1.55734     2.46028   0.0516284
          96     1.55195     2.45082   0.0519504
          97     1.54771     2.44151   0.0522424
          98     1.54456     2.43236    0.052505
          99     1.54246     2.42337   0.0527384
         100     1.54135     2.41455   0.0529435
         101     1.54116      2.4059   0.0531208
         102     1.54182     2.39743   0.0532712
         103     1.54324     2.38914   0.0533956
         104     1.54535     2.38102    0.053495
         105     1.54807     2.37309   0.0535705
         106      1.5513     2.36534   0.0536232
         107     1.55496     2.35776   0.0536542
         108     1.55896     2.35037   0.0536648
         109     1.56324     2.34315   0.0536561
         110     1.56771      2.3361   0.0536294
         111      1.5723     2.32922   0.0535859
         112     1.57694      2.3225   0.0535268
         113     1.58159     2.31594   0.0534532
         114     1.58619     2.30954   0.0533662
         115      1.5907     2.30329    0.053267
         116     1.59507     2.29718   0.0531565
         117     1.59929     2.29122   0.0530358
         118     1.60332     2.28539   0.0529058
         119     1.60715     2.27969   0.0527673
         120     1.61078     2.27412   0.0526212
         121     1.61419     2.26866   0.0524681
         122     1.61738     2.26332   0.0523089
         123     1.62035      2.2581   0.0521442
         124     1.62312     2.25298   0.0519745
         125     1.62569     2.24796   0.0518004
         126     1.62807     2.24304   0.0516224
         127     1.63028     2.23821   0.0514409
         128     1.63233     2.23348   0.0512564
         129     1.63424     2.22883   0.0510691
         130     1.63603     2.22427   0.0508794
         131     1.63771      2.2198   0.0506877
         132     1.63929      2.2154   0.0504941
         133      1.6408     2.21108   0.0502989
         134     1.64224     2.20683   0.0501024
         135     1.64363     2.20266   0.0499046
         136     1.64498     2.19856   0.0497059
         137      1.6463     2.19453   0.0495062
         138     1.64759     2.19057   0.0493059
         139     1.64886     2.18667   0.0491049
         140      1.6501     2.18284   0.0489035
         141     1.65133     2.17907   0.0487018
         142     1.65253     2.17536   0.0484997
         143     1.65371     2.17171   0.0482976
         144     1.65487     2.16812   0.0480954
         145     1.65599     2.16459   0.0478932
         146     1.65709     2.16111   0.0476911
         147     1.65814     2.15769   0.0474893
         148     1.65915     2.15432   0.0472877
         149     1.66012     2.15101   0.0470865
         150     1.66104     2.14774   0.0468858
         151     1.66191     2.14452   0.0466855
         152     1.66273     2.14135   0.0464859
         153      1.6635     2.13823   0.0462868
         154     1.66423     2.13515   0.0460885
         155     1.66493     2.13212   0.0458909
         156      1.6656     2.12913   0.0456941
         157     1.66625     2.12618    0.045498
         158     1.66689     2.12327   0.0453028
         159     1.66754     2.12041   0.0451085
         160     1.66822     2.11758    0.044915
         161     1.66892     2.11479   0.0447224
         162     1.66967     2.11205   0.0445307
         163     1.67048     2.10934   0.0443398
         164     1.67136     2.10667   0.0441498
         165      1.6723     2.10403   0.0439606
         166     1.67333     2.10144   0.0437723
         167     1.67444     2.09888   0.0435848
         168     1.67561     2.09636   0.0433981
         169     1.67686     2.09388   0.0432123
         170     1.67816     2.09144   0.0430272
         171     1.67951     2.08903    0.042843
         172     1.68087     2.08665   0.0426595
         173     1.68223     2.08432    0.042477
         174     1.68357     2.08201   0.0422952
         175     1.68486     2.07974   0.0421144
         176     1.68607     2.07751   0.0419345
         177     1.68718      2.0753   0.0417555
         178     1.68816     2.07313   0.0415775
         179     1.68899     2.07098   0.0414006
         180     1.68965     2.06886   0.0412247
         181     1.69011     2.06677   0.0410501
         182     1.69036      2.0647   0.0408766
         183      1.6904     2.06266   0.0407043
         184     1.69021     2.06063   0.0405334
         185     1.68979     2.05863   0.0403639
         186     1.68915     2.05664   0.0401957
         187     1.68828     2.05467    0.040029
         188      1.6872     2.05272   0.0398638
         189     1.68591     2.05078   0.0397001
         190     1.68444     2.04885   0.0395379
         191     1.68281     2.04693   0.0393773
         192     1.68102     2.04502   0.0392183
         193     1.67911     2.04313   0.0390609
         194     1.67709     2.04124   0.0389051
         195     1.67499     2.03936   0.0387509
         196     1.67285     2.03749   0.0385983
         197     1.67067     2.03563   0.0384472
         198     1.66848     2.03378   0.0382978
         199      1.6663     2.03193   0.0381498
         200     1.66416     2.03009   0.0380033
         201     1.66207     2.02826   0.0378584
         202     1.66005     2.02644   0.0377148
         203     1.65813     2.02462   0.0375726
         204     1.65631     2.02282   0.0374318
