#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.56176    -6.56176           0
           2    -6.36211    -6.46193   0.0705896
           3    -6.18598    -6.36995   0.0886314
           4    -6.00143    -6.27782    0.103849
           5    -5.83863    -6.18998    0.114344
           6    -5.75729    -6.11787    0.115816
           7    -5.72338    -6.06151    0.112147
           8     -5.6789    -6.01368    0.107846
           9    -5.63724    -5.97186    0.103657
          10    -5.48077    -5.92275    0.104277
          11    -5.42871    -5.87784    0.104021
          12    -5.38788    -5.83701    0.103054
          13    -5.46695    -5.80854   0.0989806
          14    -5.36526    -5.77688   0.0968426
          15     -5.2808    -5.74381   0.0958674
          16    -5.33534    -5.71828   0.0932128
          17    -5.31048    -5.69429   0.0907638
          18    -5.28879    -5.67176   0.0884729
          19    -5.19361     -5.6466   0.0873223
          20    -5.27043    -5.62779   0.0849576
          21    -5.31256    -5.61278   0.0822274
          22    -5.10427    -5.58966   0.0816739
          23    -5.09522    -5.56816   0.0809026
          24    -5.28263    -5.55627   0.0784015
          25     -5.3413    -5.54767   0.0757355
          26    -5.24656    -5.53609   0.0737028
          27    -5.13376    -5.52119   0.0724637
          28    -5.35795    -5.51536   0.0701099
          29    -5.23644    -5.50574   0.0683488
          30    -5.22018    -5.49622     0.06673
          31    -5.12318    -5.48419   0.0656535
          32    -5.06933    -5.47122   0.0648691
          33    -5.19302    -5.46279   0.0634488
          34    -5.27359    -5.45723   0.0618263
          35    -5.25218    -5.45137   0.0603367
          36    -5.22803    -5.44516   0.0589788
          37    -5.12804    -5.43659   0.0580042
          38    -4.91924    -5.42298   0.0580536
          39    -4.99247    -5.41194    0.057605
          40    -5.09706    -5.40407   0.0567002
          41    -4.95774    -5.39318   0.0563526
          42    -4.80852    -5.37926   0.0567041
          43    -4.93183    -5.36886    0.056332
          44    -5.00307    -5.36054   0.0556618
          45    -4.90126    -5.35034   0.0553527
          46    -4.72421    -5.33673   0.0557979
          47    -4.84305    -5.32622   0.0555905
          48     -4.9268     -5.3179   0.0550517
          49    -5.02279    -5.31188   0.0542566
          50    -5.06027    -5.30685   0.0534043
          51    -5.13504    -5.30348   0.0524633
          52    -5.16492    -5.30081    0.051522
          53    -5.06946    -5.29645   0.0507345
          54    -5.15738    -5.29387   0.0498603
          55     -5.1292    -5.29088   0.0490435
          56    -5.27944    -5.29067   0.0481682
          57     -5.1538    -5.28827    0.047383
          58     -5.0534    -5.28422   0.0467387
          59    -5.14981    -5.28194    0.046002
          60    -5.12748    -5.27937   0.0453073
          61    -5.01595    -5.27505   0.0447699
          62    -5.11706     -5.2725   0.0441203
          63    -5.10304    -5.26981   0.0435019
          64    -5.01534    -5.26584   0.0430035
          65    -4.98633    -5.26154   0.0425563
          66    -5.09304    -5.25898   0.0419881
          67    -4.99002    -5.25497   0.0415528
          68    -5.05741    -5.25206   0.0410432
          69    -5.02294    -5.24874   0.0405825
          70    -5.01741    -5.24544   0.0401371
          71    -4.93557    -5.24107   0.0398083
          72    -4.89713     -5.2363    0.039541
          73     -4.7632    -5.22982   0.0395269
