#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2     1.99993     1.99996 2.54488e-05
           3     1.99971     1.99988 7.05694e-05
           4     1.99935     1.99975 0.000125779
           5     1.99885     1.99957 0.000189608
           6      1.9982     1.99934 0.000261144
           7     1.99741     1.99906 0.000339791
           8     1.99647     1.99874 0.000425147
           9     1.99537     1.99837  0.00051694
          10     1.99413     1.99794 0.000614991
          11     1.99272     1.99747 0.000719195
          12     1.99116     1.99694 0.000829505
          13     1.98943     1.99636  0.00094592
          14     1.98753     1.99573  0.00106842
          15     1.98545     1.99505  0.00119704
          16     1.98319     1.99431  0.00133193
          17     1.98075     1.99351  0.00147315
          18     1.97811     1.99265  0.00162082
          19     1.97527     1.99174  0.00177511
          20     1.97221     1.99076  0.00193623
          21     1.96894     1.98972  0.00210442
          22     1.96544     1.98862  0.00227992
          23      1.9617     1.98745  0.00246299
          24     1.95771     1.98621  0.00265387
          25     1.95345      1.9849  0.00285285
          26     1.94893     1.98352  0.00306022
          27     1.94412     1.98206  0.00327627
          28     1.93902     1.98052  0.00350135
          29      1.9336      1.9789  0.00373576
          30     1.92786      1.9772  0.00397981
          31     1.92179     1.97541  0.00423382
          32     1.91537     1.97354  0.00449814
          33     1.90858     1.97157  0.00477313
          34     1.90141      1.9695  0.00505915
          35     1.89384     1.96734  0.00535656
          36     1.88587     1.96508  0.00566573
          37     1.87747     1.96271  0.00598701
          38     1.86863     1.96024   0.0063207
          39     1.85934     1.95765  0.00666712
          40     1.84958     1.95495  0.00702654
          41     1.83935     1.95213  0.00739924
          42     1.82863     1.94919  0.00778547
          43      1.8174     1.94612  0.00818543
          44     1.80567     1.94293  0.00859929
          45     1.79343     1.93961  0.00902718
          46     1.78066     1.93615  0.00946917
          47     1.76737     1.93256   0.0099253
          48     1.75356     1.92883   0.0103955
          49     1.73923     1.92496   0.0108797
          50     1.72439     1.92095   0.0113776
          51     1.70905      1.9168    0.011889
          52     1.69321      1.9125   0.0124136
          53      1.6769     1.90805   0.0129508
          54     1.66013     1.90346   0.0135003
          55     1.64294     1.89872   0.0140612
          56     1.62534     1.89384   0.0146331
          57     1.60738     1.88882   0.0152149
          58     1.58907     1.88365    0.015806
          59     1.57047     1.87834   0.0164052
          60      1.5516     1.87289   0.0170116
          61     1.53252     1.86731   0.0176241
          62     1.51326      1.8616   0.0182416
          63     1.49386     1.85577   0.0188629
          64     1.47438     1.84981   0.0194867
          65     1.45486     1.84373   0.0201119
          66     1.43534     1.83754   0.0207372
          67     1.41587     1.83125   0.0213614
          68     1.39649     1.82486   0.0219833
          69     1.37724     1.81837   0.0226016
          70     1.35817      1.8118   0.0232152
          71     1.33931     1.80514   0.0238229
          72     1.32071     1.79841   0.0244237
          73      1.3024     1.79162   0.0250164
          74     1.28441     1.78476   0.0256001
          75     1.26679     1.77786   0.0261738
          76     1.24957     1.77091   0.0267365
          77     1.23278     1.76392   0.0272874
          78     1.21646      1.7569   0.0278255
          79     1.20063     1.74986   0.0283502
          80     1.18534      1.7428   0.0288607
          81     1.17061     1.73574   0.0293562
          82     1.15648     1.72867    0.029836
          83     1.14297     1.72162   0.0302996
          84     1.13011     1.71457   0.0307462
          85     1.11794     1.70755   0.0311755
          86     1.10648     1.70057   0.0315867
          87     1.09575     1.69361   0.0319795
          88     1.08577     1.68671   0.0323535
          89     1.07657     1.67985   0.0327082
          90     1.06816     1.67305   0.0330433
          91     1.06056     1.66632   0.0333587
          92     1.05376     1.65967    0.033654
          93     1.04778     1.65309   0.0339292
          94      1.0426     1.64659   0.0341842
          95     1.03823     1.64019   0.0344189
          96     1.03464     1.63388   0.0346336
          97     1.03181     1.62767   0.0348283
          98     1.02971     1.62157   0.0350033
          99     1.02831     1.61558    0.035159
         100     1.02757      1.6097   0.0352957
         101     1.02744     1.60393   0.0354139
         102     1.02788     1.59829   0.0355141
         103     1.02883     1.59276   0.0355971
         104     1.03024     1.58735   0.0356634
         105     1.03204     1.58206   0.0357137
         106      1.0342     1.57689   0.0357488
         107     1.03664     1.57184   0.0357695
         108     1.03931     1.56691   0.0357765
         109     1.04216      1.5621   0.0357708
         110     1.04514      1.5574    0.035753
         111      1.0482     1.55281   0.0357239
         112      1.0513     1.54833   0.0356845
         113      1.0544     1.54396   0.0356354
         114     1.05746     1.53969   0.0355775
         115     1.06046     1.53553   0.0355113
         116     1.06338     1.53146   0.0354377
         117     1.06619     1.52748   0.0353572
         118     1.06888     1.52359   0.0352705
         119     1.07144     1.51979   0.0351782
         120     1.07385     1.51608   0.0350808
         121     1.07612     1.51244   0.0349788
         122     1.07825     1.50888   0.0348726
         123     1.08024      1.5054   0.0347628
         124     1.08208     1.50198   0.0346497
         125     1.08379     1.49864   0.0345336
         126     1.08538     1.49536   0.0344149
         127     1.08685     1.49214   0.0342939
         128     1.08822     1.48899   0.0341709
         129      1.0895     1.48589   0.0340461
         130     1.09069     1.48285   0.0339196
         131      1.0918     1.47986   0.0337918
         132     1.09286     1.47693   0.0336627
         133     1.09386     1.47405   0.0335326
         134     1.09483     1.47122   0.0334016
         135     1.09575     1.46844   0.0332698
         136     1.09666     1.46571   0.0331372
         137     1.09753     1.46302   0.0330042
         138     1.09839     1.46038   0.0328706
         139     1.09924     1.45778   0.0327366
         140     1.10007     1.45522   0.0326024
         141     1.10089     1.45271   0.0324678
         142     1.10169     1.45024   0.0323332
         143     1.10248     1.44781   0.0321984
