#   N_BLOCK:  ACCEPTANCE:
           1    0.437762
           2    0.437574
           3    0.437567
           4     0.43715
           5    0.436939
           6    0.437111
           7    0.437314
           8    0.437876
           9    0.437973
          10     0.43801
          11    0.438055
          12     0.43784
          13    0.437852
          14     0.43797
          15    0.437924
          16     0.43796
          17    0.437925
          18    0.437815
          19     0.43781
          20    0.437969
          21    0.437835
          22    0.437869
          23    0.437803
          24    0.437771
          25    0.437802
          26    0.437852
          27    0.437701
          28    0.437757
          29    0.437652
          30    0.437699
          31     0.43771
          32    0.437696
          33    0.437659
          34    0.437589
          35     0.43762
          36    0.437583
          37    0.437656
          38    0.437698
          39    0.437674
          40    0.437648
          41    0.437669
          42    0.437677
          43    0.437672
          44    0.437701
          45      0.4377
          46    0.437692
          47    0.437676
          48     0.43767
          49    0.437662
          50    0.437656
