#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.530274    0.530274           0
           2    0.520637    0.525456  0.00340691
           3    0.494005    0.514972  0.00885584
           4    0.585352    0.532567   0.0166222
           5    0.595798    0.545213   0.0174578
           6    0.468164    0.532372   0.0186834
           7    0.507177    0.528772   0.0163574
           8    0.405349    0.513344   0.0203254
           9    0.430153    0.504101   0.0200591
          10    0.509002    0.504591   0.0180591
          11    0.504246     0.50456   0.0164174
          12    0.543682     0.50782   0.0153696
          13    0.505488    0.507641   0.0141884
          14    0.461817    0.504368   0.0135472
          15     0.48431     0.50303   0.0127099
          16    0.461618    0.500442   0.0121762
          17     0.53125    0.502254    0.011594
          18    0.579592    0.506551    0.011719
          19    0.506086    0.506526   0.0111022
          20    0.434152    0.502908   0.0111213
          21    0.578266    0.506496   0.0111556
          22    0.533807    0.507737   0.0107174
          23    0.543138    0.509277   0.0103613
          24    0.543201     0.51069   0.0100256
          25    0.509965    0.510661  0.00962459
          26    0.465046    0.508907  0.00941296
          27    0.620278    0.513032  0.00992705
          28    0.516381    0.513151  0.00957323
          29    0.593503    0.515922  0.00963574
          30    0.508664     0.51568  0.00931759
          31      0.4843    0.514668  0.00907184
          32    0.542093    0.515525  0.00882873
          33    0.629382    0.518975  0.00921072
          34    0.601996    0.521417  0.00925782
          35    0.472957    0.520032  0.00909626
          36    0.558274    0.521094   0.0089054
          37    0.471459    0.519753  0.00876517
          38    0.432871    0.517467  0.00882767
          39    0.559193    0.518537  0.00866591
          40    0.573992    0.519923  0.00855944
          41    0.531787    0.520212  0.00835557
          42    0.546265    0.520833  0.00817962
          43    0.504298    0.520448  0.00799843
          44    0.507818    0.520161  0.00782179
          45    0.522858    0.520221  0.00764821
          46    0.510559    0.520011  0.00748482
          47     0.50485    0.519688  0.00733252
          48    0.524197    0.519782  0.00718036
          49     0.53857    0.520166  0.00704405
          50    0.513434    0.520031  0.00690446
