#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46095    -5.46095           0
           2    -5.46495    -5.46295  0.00141626
           3    -5.46589    -5.46393  0.00123665
           4    -5.45392    -5.46143  0.00235823
           5    -5.44969    -5.45908  0.00282227
           6    -5.47373    -5.46152  0.00324033
           7    -5.46533    -5.46207  0.00282268
           8    -5.48406    -5.46481  0.00356574
           9    -5.48583    -5.46715  0.00385884
          10    -5.46607    -5.46704  0.00347446
          11    -5.46324     -5.4667  0.00317577
          12    -5.45949    -5.46609  0.00296742
          13    -5.46194    -5.46577  0.00275633
          14    -5.47254    -5.46626  0.00260149
          15    -5.46628    -5.46626  0.00242805
          16    -5.47554    -5.46684  0.00234452
          17    -5.45934     -5.4664  0.00224772
          18    -5.45852    -5.46596  0.00216508
          19    -5.46489     -5.4659  0.00205187
          20    -5.48077    -5.46665  0.00207962
          21    -5.44988    -5.46585  0.00212831
          22    -5.45812     -5.4655  0.00206036
          23    -5.46038    -5.46528  0.00198276
          24    -5.45796    -5.46497  0.00192345
          25    -5.46804    -5.46509  0.00185042
          26    -5.47612    -5.46552  0.00182723
          27    -5.44731    -5.46484  0.00187988
          28    -5.46335    -5.46479   0.0018135
          29    -5.44909    -5.46425  0.00183001
          30    -5.46457    -5.46426  0.00176905
          31    -5.47322    -5.46455  0.00173545
          32    -5.45963    -5.46439    0.001688
          33    -5.44312    -5.46375  0.00175565
          34    -5.45048    -5.46336  0.00174684
          35    -5.47477    -5.46369  0.00172707
          36    -5.45677    -5.46349  0.00168975
          37     -5.4747     -5.4638  0.00167101
          38    -5.48237    -5.46428  0.00169698
          39    -5.45613    -5.46408  0.00166632
          40    -5.45238    -5.46378  0.00165012
          41    -5.45914    -5.46367  0.00161375
          42    -5.45601    -5.46349   0.0015856
          43    -5.46507    -5.46352  0.00154916
          44    -5.46734    -5.46361  0.00151637
          45    -5.46483    -5.46364  0.00148292
          46    -5.46395    -5.46365  0.00145069
          47    -5.46783    -5.46373  0.00142256
          48     -5.4662    -5.46379  0.00139385
          49     -5.4606    -5.46372  0.00136692
          50    -5.46585    -5.46376  0.00134025
