#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66811     1.66811           0
           2      1.6532     1.66066   0.0052707
           3     1.65218     1.65783  0.00420388
           4     1.66282     1.65908  0.00333246
           5     1.67478     1.66222  0.00387262
           6     1.65519     1.66105  0.00339981
           7     1.66774       1.662  0.00304565
           8     1.68841      1.6653  0.00407832
           9     1.67972     1.66691  0.00392735
          10     1.67706     1.66792  0.00366351
          11     1.67307     1.66839  0.00336024
          12     1.67921     1.66929  0.00319888
          13     1.66309     1.66881  0.00298814
          14      1.6553     1.66785  0.00292635
          15     1.65335     1.66688  0.00288641
          16     1.67013     1.66709  0.00271315
          17     1.67551     1.66758  0.00259838
          18     1.66263     1.66731  0.00246854
          19     1.68675     1.66833  0.00254184
          20     1.65455     1.66764  0.00250632
          21     1.67954     1.66821  0.00245023
          22     1.65608     1.66766  0.00240001
          23     1.65853     1.66726   0.0023282
          24     1.69457      1.6684  0.00249384
          25     1.65733     1.66795  0.00243309
          26     1.67097     1.66807  0.00234228
          27     1.65438     1.66756  0.00230979
          28     1.68501     1.66819  0.00230983
          29     1.65948     1.66789  0.00224962
          30     1.65415     1.66743  0.00222071
          31     1.65541     1.66704  0.00218267
          32     1.64007      1.6662   0.0022714
          33     1.66711     1.66623  0.00220274
          34     1.65405     1.66587  0.00216687
          35     1.67226     1.66605  0.00211264
          36     1.67288     1.66624  0.00206246
          37      1.6698     1.66634  0.00200896
          38     1.66822     1.66639  0.00195671
          39     1.67246     1.66654  0.00191273
          40     1.65895     1.66635   0.0018743
          41     1.66035      1.6662  0.00183429
          42     1.64406     1.66568  0.00186486
          43     1.68793      1.6662  0.00189192
          44     1.68362     1.66659  0.00188992
          45     1.65392     1.66631  0.00186878
          46     1.66335     1.66625  0.00182926
          47     1.66407      1.6662  0.00179092
          48     1.69201     1.66674  0.00183257
          49     1.67014     1.66681  0.00179649
          50     1.66678     1.66681  0.00176056
