#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44415    -5.44415           0
           2    -5.42978    -5.43697  0.00508014
           3    -5.42896     -5.4343  0.00402699
           4    -5.43915    -5.43551  0.00319778
           5    -5.45241    -5.43889  0.00395955
           6    -5.43228    -5.43779  0.00344941
           7    -5.44479    -5.43879   0.0030981
           8    -5.46497    -5.44206  0.00408921
           9     -5.4557    -5.44358  0.00390548
          10    -5.45387    -5.44461  0.00364802
          11    -5.44913    -5.44502  0.00333946
          12     -5.4555    -5.44589   0.0031733
          13    -5.43941    -5.44539  0.00296813
          14    -5.43305    -5.44451  0.00288418
          15    -5.42877    -5.44346  0.00287646
          16     -5.4472     -5.4437  0.00270617
          17     -5.4526    -5.44422  0.00259713
          18    -5.44058    -5.44402  0.00246069
          19    -5.46346    -5.44504  0.00253494
          20     -5.4311    -5.44434  0.00250214
          21    -5.45616    -5.44491  0.00244542
          22    -5.43351    -5.44439  0.00238849
          23    -5.43439    -5.44395  0.00232384
          24     -5.4718    -5.44511      0.0025
          25    -5.43328    -5.44464  0.00244439
          26    -5.44738    -5.44475  0.00235265
          27    -5.43068    -5.44423  0.00232245
          28    -5.46211    -5.44486  0.00232567
          29    -5.43621    -5.44457  0.00226454
          30    -5.42951    -5.44406  0.00224396
          31    -5.43163    -5.44366  0.00220712
          32    -5.41614     -5.4428  0.00229965
          33    -5.44408    -5.44284  0.00223029
          34    -5.42996    -5.44246  0.00219664
          35    -5.45065     -5.4427   0.0021463
          36    -5.44905    -5.44287  0.00209392
          37    -5.44764      -5.443  0.00204129
          38    -5.44427    -5.44304  0.00198785
          39     -5.4497    -5.44321  0.00194421
          40    -5.43604    -5.44303  0.00190384
          41    -5.43781     -5.4429  0.00186164
          42    -5.42074    -5.44237  0.00189059
          43     -5.4642    -5.44288  0.00191357
          44    -5.46114     -5.4433  0.00191455
          45    -5.43088    -5.44302  0.00189178
          46    -5.44005    -5.44296  0.00185175
          47    -5.44131    -5.44292  0.00181268
          48    -5.46879    -5.44346  0.00185334
          49    -5.44717    -5.44353  0.00181706
          50    -5.44257    -5.44352  0.00178082
