#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.49798     1.49798           0
           2     1.58181     1.53989   0.0296382
           3     1.54876     1.54285   0.0199058
           4     1.55741     1.54649   0.0152584
           5      1.4461     1.52641   0.0217145
           6     1.50157     1.52227    0.018486
           7     1.46289     1.51379   0.0176846
           8     1.43327     1.50372   0.0181134
           9     1.57309     1.51143   0.0176647
          10     1.49572     1.50986   0.0159679
          11     1.45186     1.50459   0.0153621
          12     1.42662     1.49809   0.0153947
          13     1.53544     1.50096   0.0144761
          14     1.54736     1.50428   0.0138162
          15     1.56967     1.50864   0.0135654
          16     1.45976     1.50558    0.013057
          17     1.46565     1.50323   0.0124984
          18     1.44877     1.50021   0.0121648
          19     1.37752     1.49375    0.013127
          20     1.62303     1.50021   0.0139719
          21     1.48078     1.49929   0.0133371
          22     1.50561     1.49958    0.012734
          23     1.60016     1.50395   0.0129095
          24     1.35649     1.49781   0.0137562
          25     1.59629     1.50174   0.0137584
          26     1.45994     1.50014   0.0133229
          27     1.52598     1.50109   0.0128638
          28     1.41256     1.49793   0.0127871
          29     1.53691     1.49928   0.0124166
          30     1.56399     1.50143   0.0121886
          31     1.58109       1.504   0.0120633
          32      1.6143     1.50745   0.0121688
          33     1.53498     1.50828   0.0118286
          34     1.56022     1.50981    0.011579
          35     1.47815     1.50891   0.0112834
          36     1.50082     1.50868   0.0109722
          37      1.4714     1.50767   0.0107218
          38     1.56687     1.50923   0.0105522
          39     1.45889     1.50794   0.0103603
          40     1.50648     1.50791   0.0101014
          41     1.49937      1.5077  0.00985714
          42     1.52902      1.5082  0.00963551
          43     1.44463     1.50673  0.00952417
          44     1.45225     1.50549  0.00938783
          45     1.57537     1.50704  0.00930677
          46     1.55066     1.50799  0.00915262
          47     1.50789     1.50799  0.00895788
          48     1.40781      1.5059   0.0090111
          49     1.46546     1.50507  0.00886491
          50     1.59579     1.50689  0.00887133
