#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.4716      1.4716           0
           2     1.47538     1.47349  0.00133468
           3     1.51493     1.48731   0.0113138
           4     1.50238     1.49108  0.00909171
           5     1.50371      1.4936  0.00761648
           6     1.47684     1.49081  0.00684051
           7     1.54893     1.49911  0.00966858
           8     1.53591     1.50371  0.00949119
           9     1.52192     1.50573  0.00864953
          10     1.51708     1.50687  0.00785861
          11     1.49481     1.50577   0.0072203
          12     1.47223     1.50298   0.0071392
          13     1.57015     1.50814  0.00825086
          14     1.54751     1.51096  0.00812649
          15     1.43684     1.50602  0.00896178
          16      1.3868     1.49856   0.0110741
          17     1.40958     1.49333   0.0115939
          18     1.48333     1.49277   0.0109631
          19     1.56758     1.49671   0.0110705
          20     1.50715     1.49723   0.0105292
          21     1.49811     1.49728   0.0100279
          22     1.55072      1.4997    0.009862
          23     1.36044     1.49365   0.0111379
          24     1.59615     1.49792   0.0114634
          25     1.42921     1.49517   0.0113296
          26     1.56928     1.49802   0.0112467
          27     1.51408     1.49862   0.0108458
          28     1.60478     1.50241   0.0111015
          29      1.5154     1.50286   0.0107277
          30     1.48151     1.50215   0.0103937
          31     1.47618     1.50131   0.0100921
          32     1.57806     1.50371   0.0100577
          33      1.4128     1.50095   0.0101231
          34     1.46527      1.4999   0.0098796
          35      1.5443     1.50117   0.0096784
          36     1.47408     1.50042  0.00943877
          37     1.57735      1.5025  0.00940987
          38     1.57871      1.5045  0.00937356
          39     1.41581     1.50223  0.00940501
          40     1.47811     1.50163   0.0091892
          41     1.50096     1.50161  0.00896509
          42     1.56693     1.50316  0.00888553
          43     1.60769      1.5056  0.00900524
          44     1.53012     1.50615   0.0088178
          45     1.54077     1.50692  0.00865535
          46     1.58294     1.50857   0.0086235
          47     1.54672     1.50939  0.00847814
          48     1.48649     1.50891  0.00831492
          49     1.55636     1.50988  0.00820142
          50     1.53971     1.51047  0.00805906
