#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11207     1.11207           0
           2     1.10214     1.10711   0.0035138
           3     1.10145     1.10522  0.00280259
           4     1.10854     1.10605  0.00222164
           5     1.11652     1.10815  0.00258175
           6     1.10346     1.10736  0.00226654
           7     1.11183       1.108  0.00203043
           8      1.1256      1.1102  0.00271888
           9     1.11982     1.11127  0.00261823
          10     1.11804     1.11195  0.00244234
          11     1.11538     1.11226  0.00224016
          12     1.11947     1.11286  0.00213258
          13     1.10873     1.11254  0.00199209
          14     1.10354      1.1119   0.0019509
          15     1.10224     1.11125  0.00192428
          16     1.11342     1.11139  0.00180877
          17       1.117     1.11172  0.00173225
          18     1.10842     1.11154   0.0016457
          19      1.1245     1.11222  0.00169456
          20     1.10304     1.11176  0.00167088
          21      1.1197     1.11214  0.00163349
          22     1.10406     1.11177  0.00160001
          23     1.10569     1.11151  0.00155213
          24     1.12971     1.11226  0.00166256
          25     1.10488     1.11197  0.00162206
          26     1.11398     1.11205  0.00156152
          27     1.10292     1.11171  0.00153986
          28     1.12334     1.11212  0.00153989
          29     1.10632     1.11192  0.00149975
          30     1.10277     1.11162  0.00148047
          31      1.1036     1.11136  0.00145511
          32     1.09338      1.1108  0.00151427
          33     1.11141     1.11082   0.0014685
          34      1.1027     1.11058  0.00144458
          35     1.11484      1.1107  0.00140843
          36     1.11525     1.11083  0.00137498
          37      1.1132     1.11089  0.00133931
          38     1.11215     1.11092  0.00130447
          39     1.11497     1.11103  0.00127515
          40     1.10597      1.1109  0.00124953
          41      1.1069      1.1108  0.00122286
          42     1.09604     1.11045  0.00124324
          43     1.12529      1.1108  0.00126128
          44     1.12241     1.11106  0.00125995
          45     1.10261     1.11087  0.00124585
          46      1.1089     1.11083  0.00121951
          47     1.10938      1.1108  0.00119395
          48     1.12801     1.11116  0.00122171
          49     1.11343      1.1112  0.00119766
          50     1.11119      1.1112   0.0011737
