#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77604    -3.77604           0
           2    -3.77658    -3.77631 0.000190565
           3    -3.77679    -3.77647 0.000181139
           4    -3.77634    -3.77644 0.000138793
           5    -3.77763    -3.77668 0.000240455
           6     -3.7771    -3.77675 0.000210387
           7    -3.77705    -3.77679 0.000184738
           8    -3.77657    -3.77676 0.000163669
           9    -3.77598    -3.77667 0.000167099
          10    -3.77681    -3.77669 0.000150963
          11    -3.77606    -3.77663 0.000147628
          12    -3.77629     -3.7766  0.00013801
          13    -3.77632    -3.77658 0.000129112
          14    -3.77774    -3.77666 0.000144102
          15    -3.77542    -3.77658 0.000156576
          16    -3.77707    -3.77661 0.000149777
          17    -3.77709    -3.77664 0.000143594
          18    -3.77795    -3.77671 0.000153074
          19    -3.77671    -3.77671 0.000145017
          20    -3.77655     -3.7767 0.000137994
          21    -3.77661     -3.7767 0.000131489
          22    -3.77743    -3.77673 0.000129589
          23    -3.77586     -3.7767 0.000129402
          24    -3.77723    -3.77672 0.000125937
          25    -3.77596    -3.77669 0.000124523
          26    -3.77641    -3.77668 0.000120192
          27    -3.77631    -3.77666 0.000116508
          28     -3.7771    -3.77668  0.00011338
          29    -3.77673    -3.77668 0.000109486
          30    -3.77536    -3.77664 0.000114362
          31    -3.77623    -3.77662 0.000111434
          32    -3.77607    -3.77661 0.000109272
          33    -3.77697    -3.77662 0.000106518
          34    -3.77591     -3.7766 0.000105396
          35    -3.77839    -3.77665 0.000114168
          36    -3.77617    -3.77663 0.000111768
          37    -3.77784    -3.77667 0.000113438
          38    -3.77604    -3.77665 0.000111629
          39    -3.77724    -3.77667 0.000109792
          40    -3.77709    -3.77668 0.000107558
          41    -3.77746     -3.7767 0.000106639
          42    -3.77668     -3.7767   0.0001041
          43    -3.77627    -3.77669 0.000102141
          44    -3.77752     -3.7767 0.000101562
          45    -3.77696    -3.77671 9.94629e-05
          46     -3.7767    -3.77671 9.73008e-05
          47    -3.77724    -3.77672 9.58726e-05
          48    -3.77678    -3.77672  9.3884e-05
          49    -3.77704    -3.77673  9.2185e-05
          50    -3.77579    -3.77671 9.22407e-05
