#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77705    -3.77705           0
           2    -3.77775     -3.7774 0.000247651
           3    -3.77759    -3.77747 0.000172657
           4    -3.77673    -3.77728 0.000205883
           5    -3.77642    -3.77711 0.000225498
           6    -3.77629    -3.77697 0.000225865
           7    -3.77604    -3.77684 0.000229623
           8    -3.77526    -3.77664 0.000273042
           9    -3.77682    -3.77666  0.00024339
          10    -3.77704     -3.7767 0.000222004
          11    -3.77765    -3.77678 0.000217948
          12    -3.77707    -3.77681 0.000201042
          13    -3.77664     -3.7768 0.000185997
          14    -3.77662    -3.77678 0.000173114
          15     -3.7771     -3.7768 0.000162898
          16    -3.77752    -3.77685 0.000158758
          17    -3.77667    -3.77684 0.000149787
          18    -3.77545    -3.77676 0.000160132
          19    -3.77682    -3.77676  0.00015174
          20    -3.77777    -3.77681 0.000152222
          21    -3.77634    -3.77679 0.000146642
          22    -3.77644    -3.77678 0.000140855
          23    -3.77718    -3.77679 0.000135801
          24    -3.77764    -3.77683 0.000134598
          25    -3.77669    -3.77682 0.000129322
          26    -3.77612     -3.7768 0.000127159
          27    -3.77638    -3.77678 0.000123394
          28    -3.77569    -3.77674 0.000125008
          29    -3.77685    -3.77675 0.000120758
          30     -3.7761    -3.77672 0.000118651
          31    -3.77657    -3.77672 0.000114929
          32    -3.77734    -3.77674 0.000112986
          33    -3.77682    -3.77674 0.000109589
          34    -3.77628    -3.77673 0.000107206
          35    -3.77673    -3.77673 0.000104143
          36     -3.7775    -3.77675 0.000103467
          37     -3.7757    -3.77672 0.000104505
          38    -3.77656    -3.77672 0.000101838
          39    -3.77756    -3.77674 0.000101519
          40    -3.77674    -3.77674  9.8981e-05
          41    -3.77619    -3.77672 9.74552e-05
          42    -3.77636    -3.77672 9.55245e-05
          43    -3.77491    -3.77667 0.000102135
          44    -3.77634    -3.77667 0.000100102
          45    -3.77673    -3.77667 9.78882e-05
          46    -3.77565    -3.77665 9.82373e-05
          47    -3.77759    -3.77667 9.81898e-05
          48    -3.77605    -3.77665 9.69713e-05
          49    -3.77526    -3.77662 9.90418e-05
          50    -3.77652    -3.77662 9.70818e-05
